CodMun,CodMeso,MesoRegiao,NomeMun,UF,PopEst,Barco,Metro,Mototx,Taxi,Trem,Van,Aviao,ImpacAmb_24meses,Secas_Enxurr,PoluiAr,Polui_corpoAgua,Assorea_corpoAgua,DiminVazao_corpoAgua,Desmatam,Queimad,Erosao_Desert,Dimin_FaunaFlora,MoradRiscoAmb,FaltaSaneamen,Favela,Cortico,LoteIrr,Ocupacao,AtingidoPorSeca_4a,AtingPorAlagam_4a,AtingPorErosao_4a,AtingPorEnchen_4a,AtingPorEnxurr_4a,AtingPorDeslizam_4a,Rede,TxAprv_1-5 ,TxAprv_1,TxAprv_2,TxAprv_3,TxAprv_4,TxAprv_5,IndRend_P,Mat,Port,NtMedPadr_N,IDEB_NxP,FUNDEB,Total Matriculados,Custo Aluno
3102001,3110,Sul / Sudoeste de Minas,Alterosa,MG,14551,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,Sim,Sim,Não,Não,Sim,Não,Municipal,100.0,100.0,100.0,100.0,100.0,100.0,1.00,251.87,231.10,6.97,7.0,5012170.41,1589.0,3154.29
3102001,3110,Sul / Sudoeste de Minas,Alterosa,MG,14551,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,Sim,Sim,Não,Não,Sim,Não,Pública,100.0,100.0,100.0,100.0,100.0,100.0,1.00,251.87,231.10,6.97,7.0,5012170.41,1589.0,3154.29
3102050,3112,Zona da Mata,Alto Caparaó,MG,5791,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,Não,Não,Não,Não,Não,Não,Estadual,-,-,-,-,-,-,-,-,-,-,-,2274396.29,679.0,3349.63
3102050,3112,Zona da Mata,Alto Caparaó,MG,5791,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,Não,Não,Não,Não,Não,Não,Municipal,90.5,82.3,84.5,91.6,96.2,97.6,0.90,248.95,239.07,7.06,6.4,2274396.29,679.0,3349.63
3102050,3112,Zona da Mata,Alto Caparaó,MG,5791,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,Não,Não,Não,Não,Não,Não,Pública,90.5,82.3,84.5,91.6,96.2,97.6,0.90,248.95,239.07,7.06,6.4,2274396.29,679.0,3349.63
3153509,3112,Zona da Mata,Alto Jequitibá,MG,8522,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não sabe,Não,Não sabe,Não sabe,Estadual,99.5,100.0,100.0,100.0,100.0,98.6,1.00,218.62,211.31,5.98,6.0,1824595.26,547.0,3335.64
3153509,3112,Zona da Mata,Alto Jequitibá,MG,8522,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não sabe,Não,Não sabe,Não sabe,Pública,99.5,100.0,100.0,98.1,100.0,99.3,0.99,218.62,211.31,5.98,5.9,1824595.26,547.0,3335.64
3102100,3112,Zona da Mata,Alto Rio Doce,MG,11693,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Sim,Sim,Estadual,99.4,100.0,100.0,97.4,100.0,100.0,0.99,232.78,215.09,6.32,6.3,2574046.1,846.0,3042.61
3102100,3112,Zona da Mata,Alto Rio Doce,MG,11693,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Sim,Sim,Municipal,94.6,88.9,100.0,86.7,97.8,100.0,0.94,250.73,235.86,7.04,6.6,2574046.1,846.0,3042.61
3102100,3112,Zona da Mata,Alto Rio Doce,MG,11693,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Sim,Sim,Pública,95.7,90.4,100.0,89.7,98.3,100.0,0.95,244.00,228.07,6.77,6.5,2574046.1,846.0,3042.61
