Mun,MesoRegiao,Cod_Meso
Conceição das Pedras,Sul / Sudoeste de Minas,3110
Conceição de Ipanema,Vale do Rio Doce,3108
Conceição do Mato Dentro,Metropolitana de Belo Horizonte,3107
Conceição do Pará,Oeste de Minas,3109
Conceição do Rio Verde,Sul / Sudoeste de Minas,3110
Conceição dos Ouros,Sul / Sudoeste de Minas,3110
Cônego Marinho,Norte de Minas,3102
Confins,Metropolitana de Belo Horizonte,3107
Congonhal,Sul / Sudoeste de Minas,3110
Congonhas,Metropolitana de Belo Horizonte,3107
Congonhas do Norte,Metropolitana de Belo Horizonte,3107
Conquista,Triângulo Mineiro / Alto Paranaíba,3105
Conselheiro Lafaiete,Metropolitana de Belo Horizonte,3107
Conselheiro Pena,Vale do Rio Doce,3108
Consolação,Sul / Sudoeste de Minas,3110
Contagem,Metropolitana de Belo Horizonte,3107
Coqueiral,Sul / Sudoeste de Minas,3110
Coração de Jesus,Norte de Minas,3102
Cordisburgo,Metropolitana de Belo Horizonte,3107
Cordislândia,Sul / Sudoeste de Minas,3110
Corinto,Central Mineira,3106
Coroaci,Vale do Rio Doce,3108
Coromandel,Triângulo Mineiro / Alto Paranaíba,3105
Coronel Fabriciano,Vale do Rio Doce,3108
Coronel Murta,Jequitinhonha,3103
Coronel Pacheco,Zona da Mata,3112
Coronel Xavier Chaves,Campo das Vertentes,3111
Córrego Danta,Oeste de Minas,3109
Córrego do Bom Jesus,Sul / Sudoeste de Minas,3110
Córrego Fundo,Oeste de Minas,3109
Córrego Novo,Vale do Rio Doce,3108
Couto de Magalhães de Minas,Jequitinhonha,3103
Crisólita,Vale do Mucuri,3104
Cristais,Oeste de Minas,3109
Cristália,Norte de Minas,3102
Cristiano Otoni,Metropolitana de Belo Horizonte,3107
Cristina,Sul / Sudoeste de Minas,3110
Crucilândia,Metropolitana de Belo Horizonte,3107
Cruzeiro da Fortaleza,Triângulo Mineiro / Alto Paranaíba,3105
Cruzília,Sul / Sudoeste de Minas,3110
Cuparaque,Vale do Rio Doce,3108
Curral de Dentro,Norte de Minas,3102
Curvelo,Central Mineira,3106
Datas,Jequitinhonha,3103
Delfim Moreira,Sul / Sudoeste de Minas,3110
Delfinópolis,Sul / Sudoeste de Minas,3110
Delta,Triângulo Mineiro / Alto Paranaíba,3105
Descoberto,Zona da Mata,3112
Desterro de Entre Rios,Metropolitana de Belo Horizonte,3107
Desterro do Melo,Campo das Vertentes,3111
Diamantina,Jequitinhonha,3103
Diogo de Vasconcelos,Metropolitana de Belo Horizonte,3107
Dionísio,Metropolitana de Belo Horizonte,3107
Divinésia,Zona da Mata,3112
Divino,Zona da Mata,3112
Divino das Laranjeiras,Vale do Rio Doce,3108
Divinolândia de Minas,Vale do Rio Doce,3108
Divinópolis,Oeste de Minas,3109
Divisa Alegre,Norte de Minas,3102
Divisa Nova,Sul / Sudoeste de Minas,3110
Divisópolis,Jequitinhonha,3103
Dom Bosco,Noroeste de Minas,3101
Dom Cavati,Vale do Rio Doce,3108
Dom Joaquim,Metropolitana de Belo Horizonte,3107
Dom Silvério,Zona da Mata,3112
Dom Viçoso,Sul / Sudoeste de Minas,3110
Dona Eusébia,Zona da Mata,3112
Dores de Campos,Campo das Vertentes,3111
Dores de Guanhães,Vale do Rio Doce,3108
Dores do Indaiá,Central Mineira,3106
Dores do Turvo,Zona da Mata,3112
Doresópolis,Oeste de Minas,3109
Douradoquara,Triângulo Mineiro / Alto Paranaíba,3105
Durandé,Zona da Mata,3112
Elói Mendes,Sul / Sudoeste de Minas,3110
Engenheiro Caldas,Vale do Rio Doce,3108
Engenheiro Navarro,Norte de Minas,3102
Entre Folhas,Vale do Rio Doce,3108
Entre Rios de Minas,Metropolitana de Belo Horizonte,3107
Ervália,Zona da Mata,3112
Esmeraldas,Metropolitana de Belo Horizonte,3107
Espera Feliz,Zona da Mata,3112
Espinosa,Norte de Minas,3102
Espírito Santo do Dourado,Sul / Sudoeste de Minas,3110
Estiva,Sul / Sudoeste de Minas,3110
Estrela Dalva,Zona da Mata,3112
Estrela do Indaiá,Central Mineira,3106
Estrela do Sul,Triângulo Mineiro / Alto Paranaíba,3105
Eugenópolis,Zona da Mata,3112
Ewbank da Câmara,Zona da Mata,3112
Extrema,Sul / Sudoeste de Minas,3110
Fama,Sul / Sudoeste de Minas,3110
Faria Lemos,Zona da Mata,3112
Felício dos Santos,Jequitinhonha,3103
Felisburgo,Jequitinhonha,3103
Felixlândia,Central Mineira,3106
Fernandes Tourinho,Vale do Rio Doce,3108
Ferros,Metropolitana de Belo Horizonte,3107
Fervedouro,Zona da Mata,3112
Florestal,Metropolitana de Belo Horizonte,3107
Formiga,Oeste de Minas,3109
Formoso,Noroeste de Minas,3101
Fortaleza de Minas,Sul / Sudoeste de Minas,3110
Fortuna de Minas,Metropolitana de Belo Horizonte,3107
Francisco Badaró,Jequitinhonha,3103
Francisco Dumont,Norte de Minas,3102
Francisco Sá,Norte de Minas,3102
Franciscópolis,Vale do Mucuri,3104
Frei Gaspar,Vale do Mucuri,3104
Frei Inocêncio,Vale do Rio Doce,3108
Frei Lagonegro,Vale do Rio Doce,3108
Fronteira,Triângulo Mineiro / Alto Paranaíba,3105
Fronteira dos Vales,Vale do Mucuri,3104
Fruta de Leite,Norte de Minas,3102
Frutal,Triângulo Mineiro / Alto Paranaíba,3105
Funilândia,Metropolitana de Belo Horizonte,3107
Galiléia,Vale do Rio Doce,3108
Gameleiras,Norte de Minas,3102
Glaucilândia,Norte de Minas,3102
Goiabeira,Vale do Rio Doce,3108
Goianá,Zona da Mata,3112
Gonçalves,Sul / Sudoeste de Minas,3110
Gonzaga,Vale do Rio Doce,3108
Gouveia,Jequitinhonha,3103
Governador Valadares,Vale do Rio Doce,3108
Grão Mogol,Norte de Minas,3102
Grupiara,Triângulo Mineiro / Alto Paranaíba,3105
Guanhães,Vale do Rio Doce,3108
Guapé,Sul / Sudoeste de Minas,3110
Guaraciaba,Zona da Mata,3112
Guaraciama,Norte de Minas,3102
Guaranésia,Sul / Sudoeste de Minas,3110
Guarani,Zona da Mata,3112
Guarará,Zona da Mata,3112
Guarda-Mor,Noroeste de Minas,3101
Guaxupé,Sul / Sudoeste de Minas,3110
Guidoval,Zona da Mata,3112
Guimarânia,Triângulo Mineiro / Alto Paranaíba,3105
Guiricema,Zona da Mata,3112
Gurinhatã,Triângulo Mineiro / Alto Paranaíba,3105
Heliodora,Sul / Sudoeste de Minas,3110
Iapu,Vale do Rio Doce,3108
Ibertioga,Campo das Vertentes,3111
Ibiá,Triângulo Mineiro / Alto Paranaíba,3105
Ibiaí,Norte de Minas,3102
Ibiracatu,Norte de Minas,3102
Ibiraci,Sul / Sudoeste de Minas,3110
Ibirité,Metropolitana de Belo Horizonte,3107
Ibitiúra de Minas,Sul / Sudoeste de Minas,3110
Ibituruna,Oeste de Minas,3109
Icaraí de Minas,Norte de Minas,3102
Igarapé,Metropolitana de Belo Horizonte,3107
Igaratinga,Oeste de Minas,3109
Iguatama,Oeste de Minas,3109
Ijaci,Campo das Vertentes,3111
Ilicínea,Sul / Sudoeste de Minas,3110
Imbé de Minas,Vale do Rio Doce,3108
Inconfidentes,Sul / Sudoeste de Minas,3110
Indaiabira,Norte de Minas,3102
Indianópolis,Triângulo Mineiro / Alto Paranaíba,3105
Ingaí,Campo das Vertentes,3111
Inhapim,Vale do Rio Doce,3108
Inhaúma,Metropolitana de Belo Horizonte,3107
