REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Lagoa Formosa,18175,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Lagoa Formosa,18175,3 - 10001 até 20000,Municipal,"99,1","7,4"
3 - Sudeste,31,MG,Lagoa Formosa,18175,3 - 10001 até 20000,Pública,"99,1","7,4"
3 - Sudeste,31,MG,Lagoa Grande,9440,2 - 5001 até 10000,Estadual,-,-
3 - Sudeste,31,MG,Lagoa Grande,9440,2 - 5001 até 10000,Municipal,"100,0","6,7"
3 - Sudeste,31,MG,Lagoa Grande,9440,2 - 5001 até 10000,Pública,"99,5","6,6"
3 - Sudeste,31,MG,Lagoa Santa,61752,5 - 50001 até 100000,Estadual,"98,8","6,8"
3 - Sudeste,31,MG,Lagoa Santa,61752,5 - 50001 até 100000,Municipal,"99,9","6,4"
3 - Sudeste,31,MG,Lagoa Santa,61752,5 - 50001 até 100000,Pública,"99,7","6,5"
3 - Sudeste,31,MG,Lajinha,20301,4 - 20001 até 50000,Estadual,"99,8","6,1"
3 - Sudeste,31,MG,Lajinha,20301,4 - 20001 até 50000,Municipal,"97,8","6,1"
3 - Sudeste,31,MG,Lajinha,20301,4 - 20001 até 50000,Pública,"98,7","6,0"
3 - Sudeste,31,MG,Lambari,20870,4 - 20001 até 50000,Estadual,"99,0","6,5"
3 - Sudeste,31,MG,Lambari,20870,4 - 20001 até 50000,Municipal,"99,4","7,5"
3 - Sudeste,31,MG,Lambari,20870,4 - 20001 até 50000,Pública,"99,3","7,0"
3 - Sudeste,31,MG,Lamim,3498,1 - Até 5000,Estadual,"100,0","7,5"
3 - Sudeste,31,MG,Lamim,3498,1 - Até 5000,Pública,"100,0","7,5"
3 - Sudeste,31,MG,Laranjal,6852,2 - 5001 até 10000,Municipal,"99,5","6,2"
3 - Sudeste,31,MG,Laranjal,6852,2 - 5001 até 10000,Pública,"99,5","6,2"
3 - Sudeste,31,MG,Lassance,6664,2 - 5001 até 10000,Estadual,"100,0","6,9"
3 - Sudeste,31,MG,Lassance,6664,2 - 5001 até 10000,Municipal,"99,4","5,8"
3 - Sudeste,31,MG,Lassance,6664,2 - 5001 até 10000,Pública,"99,6","6,2"
3 - Sudeste,31,MG,Lavras,102124,6 - 100001 até 500000,Estadual,"98,0","6,8"
3 - Sudeste,31,MG,Lavras,102124,6 - 100001 até 500000,Municipal,"94,3","6,1"
3 - Sudeste,31,MG,Lavras,102124,6 - 100001 até 500000,Pública,"94,9","6,3"
3 - Sudeste,31,MG,Leandro Ferreira,3300,1 - Até 5000,Estadual,"100,0","7,0"
