Município,Ano,Transferência,Valor Consolidado
Inhapim,2017,FUNDEB,5446822.13
Inhaúma,2017,FUNDEB,2131639.48
Inimutaba,2017,FUNDEB,2268172.18
Ipaba,2017,FUNDEB,3816984.08
Ipanema,2017,FUNDEB,4923218.65
Ipatinga,2017,FUNDEB,74292259.47
Ipiaçu,2017,FUNDEB,1781427.96
Ipuiúna,2017,FUNDEB,2859265.25
Iraí de Minas,2017,FUNDEB,2616496.88
Itabira,2017,FUNDEB,31351217.40
Itabirinha,2017,FUNDEB,3363847.86
Itabirito,2017,FUNDEB,20760729.63
Itacambira,2017,FUNDEB,1196172.27
Itacarambi,2017,FUNDEB,11599625.78
Itaguara,2017,FUNDEB,3175827.04
Itaipé,2017,FUNDEB,5221733.77
Itajubá,2017,FUNDEB,22140531.87
Itamarandiba,2017,FUNDEB,10843103.61
Itamarati de Minas,2017,FUNDEB,1907339.09
Itambacuri,2017,FUNDEB,7789882.47
Itambé do Mato Dentro,2017,FUNDEB,310476.10
Itamogi,2017,FUNDEB,3308239.06
Itamonte,2017,FUNDEB,4608577.15
Itanhandu,2017,FUNDEB,3687825.11
Itanhomi,2017,FUNDEB,4578966.79
Itaobim,2017,FUNDEB,6087328.20
Itapagipe,2017,FUNDEB,4410359.24
Itapecerica,2017,FUNDEB,2854995.41
Itapeva,2017,FUNDEB,5451221.92
Itatiaiuçu,2017,FUNDEB,4881474.81
Itaú de Minas,2017,FUNDEB,6513856.60
Itaúna,2017,FUNDEB,18218640.08
Itaverava,2017,FUNDEB,686323.35
Itinga,2017,FUNDEB,4409175.01
Itueta,2017,FUNDEB,2005657.77
Ituiutaba,2017,FUNDEB,25793707.55
Itumirim,2017,FUNDEB,1123961.19
Iturama,2017,FUNDEB,12367709.95
Itutinga,2017,FUNDEB,1191452.77
Jaboticatubas,2017,FUNDEB,4812105.83
Jacinto,2017,FUNDEB,4447714.92
Jacuí,2017,FUNDEB,2382347.82
Jacutinga,2017,FUNDEB,9067164.73
Jaguaraçu,2017,FUNDEB,1550269.38
Jaíba,2017,FUNDEB,9794895.12
Jampruca,2017,FUNDEB,1427721.29
Janaúba,2017,FUNDEB,21005449.54
Januária,2017,FUNDEB,16846788.71
Japaraíba,2017,FUNDEB,1674719.92
Japonvar,2017,FUNDEB,3371338.58
Jeceaba,2017,FUNDEB,2872787.31
Jenipapo de Minas,2017,FUNDEB,1545917.69
Jequeri,2017,FUNDEB,3070659.55
Jequitaí,2017,FUNDEB,2186882.55
Jequitibá,2017,FUNDEB,2062452.65
Jequitinhonha,2017,FUNDEB,6393930.79
Jesuânia,2017,FUNDEB,1114464.90
Joaíma,2017,FUNDEB,7187166.27
Joanésia,2017,FUNDEB,924886.31
João Monlevade,2017,FUNDEB,19676813.63
João Pinheiro,2017,FUNDEB,9053750.95
Joaquim Felício,2017,FUNDEB,2276207.97
Jordânia,2017,FUNDEB,2059068.50
José Gonçalves de Minas,2017,FUNDEB,1184964.00
José Raydan,2017,FUNDEB,1473895.45
Josenópolis,2017,FUNDEB,1781141.27
Juatuba,2017,FUNDEB,16866683.83
Juiz de Fora,2017,FUNDEB,127759211.20
Juramento,2017,FUNDEB,1417490.36
Juruaia,2017,FUNDEB,3624998.32
Juvenília,2017,FUNDEB,2407693.09
Ladainha,2017,FUNDEB,5282824.50
Lagamar,2017,FUNDEB,1581294.52
Lagoa da Prata,2017,FUNDEB,9361380.55
Lagoa dos Patos,2017,FUNDEB,1549079.09
Lagoa Dourada,2017,FUNDEB,7115540.77
Lagoa Formosa,2017,FUNDEB,5465501.58
Lagoa Grande,2017,FUNDEB,2780313.26
Lagoa Santa,2017,FUNDEB,24780141.12
Lajinha,2017,FUNDEB,6285582.55
Lambari,2017,FUNDEB,5013521.33
Lamim,2017,FUNDEB,730411.50
Laranjal,2017,FUNDEB,2388118.13
Lassance,2017,FUNDEB,2260924.69
Lavras,2017,FUNDEB,34712105.18
Leandro Ferreira,2017,FUNDEB,490001.16
Leme do Prado,2017,FUNDEB,2070121.86
Leopoldina,2017,FUNDEB,14837453.96
Liberdade,2017,FUNDEB,1338641.01
Lima Duarte,2017,FUNDEB,4553542.26
Limeira do Oeste,2017,FUNDEB,2816694.54
Lontra,2017,FUNDEB,3415352.20
Luisburgo,2017,FUNDEB,2512971.49
Luislândia,2017,FUNDEB,1715189.65
Luminárias,2017,FUNDEB,1661327.80
Luz,2017,FUNDEB,5018406.44
Machacalis,2017,FUNDEB,2243974.31
Machado,2017,FUNDEB,9383998.09
Madre de Deus de Minas,2017,FUNDEB,1403861.49
Malacacheta,2017,FUNDEB,3729608.28
Mamonas,2017,FUNDEB,1685257.77
Manga,2017,FUNDEB,8497183.12
Manhuaçu,2017,FUNDEB,21550316.50
Manhumirim,2017,FUNDEB,8348661.34
Mantena,2017,FUNDEB,10652884.65
Mar de Espanha,2017,FUNDEB,2390373.08
Maravilhas,2017,FUNDEB,3494994.80
Maria da Fé,2017,FUNDEB,5941460.68
Mariana,2017,FUNDEB,21239984.76
Marilac,2017,FUNDEB,2271063.13
Mário Campos,2017,FUNDEB,5218228.04
