Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Coração de Jesus,152.00,72.00,0.00,514.00,148.00,222.00,82.00,90.00,0.00,0.00,0.00,0.00,0.00,25.00,13.00,20.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cordisburgo,0.00,0.00,0.00,152.00,221.00,19.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
Cordislândia,34.00,0.00,0.00,79.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Corinto,142.00,0.00,0.00,453.00,"1,470.00",14.00,423.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,4.00,86.00,0.00,0.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coroaci,59.00,55.00,0.00,226.00,385.00,230.00,54.00,165.00,4.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coromandel,333.00,0.00,0.00,500.00,309.00,59.00,356.00,22.00,222.00,0.00,0.00,0.00,0.00,78.00,35.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,0.00,0.00,0.00,0.00,0.00,0.00
Coronel Fabriciano,"1,076.00",401.00,42.00,"1,956.00",232.00,0.00,251.00,0.00,"4,008.00",0.00,0.00,0.00,0.00,53.00,18.00,527.00,0.00,0.00,354.00,26.00,0.00,0.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00
Coronel Murta,0.00,137.00,0.00,199.00,436.00,52.00,279.00,0.00,15.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coronel Pacheco,0.00,0.00,0.00,66.00,172.00,0.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coronel Xavier Chaves,0.00,0.00,0.00,83.00,238.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Córrego Danta,36.00,0.00,0.00,46.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Córrego do Bom Jesus,0.00,0.00,0.00,55.00,183.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Córrego Fundo,83.00,0.00,34.00,113.00,262.00,0.00,108.00,0.00,75.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Córrego Novo,67.00,0.00,0.00,78.00,223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Couto de Magalhães de Minas,56.00,53.00,8.00,125.00,257.00,0.00,0.00,0.00,71.00,0.00,0.00,0.00,0.00,9.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Crisólita,86.00,0.00,0.00,122.00,433.00,12.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristais,138.00,0.00,78.00,143.00,556.00,109.00,0.00,100.00,50.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristália,0.00,33.00,0.00,169.00,392.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,7.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristiano Otoni,0.00,0.00,0.00,135.00,337.00,29.00,182.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristina,85.00,0.00,27.00,212.00,313.00,146.00,0.00,14.00,198.00,0.00,0.00,0.00,0.00,20.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.50,0.00,0.00,0.00,0.00,0.00,0.00
Crucilândia,12.00,12.00,0.00,108.00,282.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00
Cruzeiro da Fortaleza,77.00,16.00,0.00,117.00,359.00,0.00,297.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cruzília,189.00,0.00,0.00,260.00,435.00,22.00,332.00,18.00,0.00,0.00,0.00,0.00,0.00,32.00,7.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,38.50,0.00,0.00,0.00,0.00,0.00,0.00
Cuparaque,0.00,0.00,0.00,120.00,205.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00
Curral de Dentro,24.00,16.00,0.00,241.00,472.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curvelo,259.00,0.00,0.00,"1,613.00","4,015.00",461.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,109.00,35.00,119.00,0.00,0.00,507.00,0.00,0.00,0.00,54.50,0.00,0.00,0.00,0.00,0.00,0.00
Datas,119.00,0.00,0.00,159.00,248.00,136.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delfim Moreira,0.00,0.00,0.00,173.00,353.00,73.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delfinópolis,0.00,49.00,0.00,158.00,361.00,82.00,16.00,76.00,100.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,91.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delta,95.00,32.00,0.00,245.00,804.00,0.00,551.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Descoberto,91.00,0.00,0.00,98.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Desterro de Entre Rios,0.00,0.00,0.00,129.00,99.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Desterro do Melo,0.00,0.00,0.00,74.00,158.00,36.00,196.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diamantina,8.00,638.00,0.00,989.00,662.00,338.00,262.00,120.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,19.00,0.00,74.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
Diogo de Vasconcelos,0.00,22.00,0.00,67.00,36.00,40.00,0.00,0.00,212.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dionísio,0.00,0.00,0.00,149.00,161.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Divinésia,0.00,91.00,0.00,101.00,0.00,0.00,0.00,0.00,254.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00
Divino,84.00,0.00,0.00,287.00,647.00,387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,6.00,22.00,0.00,148.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00
Divino das Laranjeiras,0.00,78.00,0.00,118.00,1.00,2.00,0.00,0.00,158.00,0.00,0.00,0.00,0.00,4.00,0.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Divinolândia de Minas,62.00,0.00,0.00,208.00,432.00,141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Divinópolis,49.00,"1,508.00",61.00,"3,545.00","4,574.00",219.00,"2,924.00",68.00,69.00,0.00,0.00,0.00,0.00,491.00,316.00,303.00,0.00,0.00,141.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Divisa Alegre,15.00,53.00,0.00,162.00,587.00,0.00,281.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Divisa Nova,65.00,0.00,0.00,154.00,382.00,0.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
Divisópolis,65.00,0.00,0.00,202.00,600.00,78.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dom Bosco,0.00,43.00,0.00,93.00,46.00,67.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dom Cavati,0.00,0.00,0.00,137.00,295.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,4.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dom Joaquim,0.00,115.00,0.00,121.00,0.00,79.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,3.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dom Silvério,71.00,0.00,0.00,85.00,243.00,0.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.50,0.00,0.00,0.00,0.00,0.00,0.00
Dom Viçoso,0.00,0.00,0.00,76.00,104.00,54.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dona Eusébia,0.00,0.00,0.00,160.00,417.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dores de Campos,81.00,0.00,0.00,211.00,513.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00
Dores de Guanhães,53.00,20.00,0.00,113.00,243.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dores do Indaiá,101.00,0.00,0.00,175.00,346.00,0.00,474.00,0.00,139.00,0.00,0.00,0.00,0.00,29.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dores do Turvo,0.00,0.00,0.00,117.00,178.00,29.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00
Doresópolis,22.00,0.00,0.00,26.00,95.00,0.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Douradoquara,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Durandé,15.00,12.00,14.00,164.00,185.00,162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Elói Mendes,259.00,0.00,0.00,540.00,979.00,240.00,361.00,237.00,104.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.50,0.00,0.00,0.00,0.00,0.00,0.00
Engenheiro Caldas,0.00,0.00,0.00,376.00,759.00,0.00,161.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Engenheiro Navarro,0.00,0.00,0.00,169.00,387.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Entre Folhas,70.00,0.00,0.00,115.00,357.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Entre Rios de Minas,54.00,0.00,57.00,199.00,516.00,101.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00
Ervália,90.00,22.00,0.00,450.00,356.00,385.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,0.00,0.00,0.00,0.00
Esmeraldas,0.00,0.00,0.00,"1,656.00","1,796.00","1,761.00",598.00,"1,327.00",933.00,0.00,0.00,0.00,0.00,87.00,0.00,590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Espera Feliz,242.00,101.00,13.00,570.00,260.00,182.00,0.00,146.00,104.00,0.00,0.00,0.00,0.00,68.00,20.00,210.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00
Espinosa,421.00,55.00,0.00,603.00,323.00,506.00,0.00,0.00,160.00,0.00,0.00,0.00,0.00,11.00,5.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Espírito Santo do Dourado,77.00,0.00,0.00,130.00,134.00,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estiva,35.00,89.00,0.00,256.00,50.00,229.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00
Estrela Dalva,0.00,43.00,0.00,63.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estrela do Indaiá,37.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00
Estrela do Sul,0.00,97.00,0.00,136.00,204.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,57.50,0.00,0.00,0.00,0.00,0.00,0.00
Eugenópolis,90.00,0.00,0.00,193.00,366.00,0.00,32.00,0.00,171.00,0.00,0.00,0.00,0.00,15.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ewbank da Câmara,0.00,42.00,0.00,104.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,26.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Extrema,979.00,0.00,644.00,304.00,"1,273.00",512.00,"1,371.00",202.00,586.00,0.00,0.00,0.00,0.00,143.00,32.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fama,0.00,0.00,0.00,57.00,106.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faria Lemos,0.00,18.00,0.00,112.00,153.00,7.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,19.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Felício dos Santos,80.00,16.00,0.00,137.00,0.00,364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Felisburgo,27.00,83.00,0.00,176.00,439.00,53.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,21.00,16.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Felixlândia,56.00,33.00,0.00,267.00,739.00,68.00,481.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00
Fernandes Tourinho,0.00,41.00,0.00,65.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ferros,24.00,103.00,0.00,206.00,0.00,102.00,0.00,0.00,163.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fervedouro,0.00,41.00,0.00,285.00,251.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florestal,0.00,137.00,0.00,192.00,339.00,22.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00
Formiga,776.00,12.00,512.00,577.00,"1,814.00",97.00,753.00,58.00,506.00,0.00,0.00,0.00,0.00,84.00,79.00,19.00,0.00,0.00,60.00,0.00,0.00,0.00,76.50,0.00,0.00,0.00,0.00,0.00,0.00
Formoso,0.00,63.00,0.00,237.00,353.00,147.00,77.00,102.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fortaleza de Minas,0.00,15.00,0.00,75.00,208.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fortuna de Minas,54.00,33.00,0.00,78.00,218.00,0.00,171.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Badaró,0.00,58.00,0.00,154.00,0.00,173.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Dumont,53.00,0.00,0.00,117.00,291.00,59.00,0.00,33.00,35.00,0.00,0.00,0.00,0.00,5.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Sá,0.00,235.00,0.00,532.00,394.00,289.00,113.00,76.00,17.00,0.00,0.00,0.00,0.00,46.00,0.00,36.00,0.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Franciscópolis,0.00,0.00,0.00,121.00,276.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Frei Gaspar,0.00,19.00,0.00,152.00,101.00,295.00,0.00,212.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Frei Inocêncio,110.00,0.00,20.00,174.00,297.00,72.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Frei Lagonegro,0.00,37.00,0.00,91.00,0.00,167.00,0.00,112.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fronteira,138.00,0.00,0.00,324.00,859.00,44.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,34.00,13.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
Fronteira dos Vales,0.00,0.00,0.00,96.00,130.00,104.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fruta de Leite,55.00,0.00,0.00,92.00,0.00,280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Frutal,425.00,0.00,321.00,440.00,"2,198.00",295.00,0.00,214.00,296.00,0.00,0.00,0.00,0.00,192.00,134.00,166.00,0.00,0.00,278.00,0.00,172.00,55.00,61.50,0.00,0.00,0.00,0.00,0.00,0.00
Funilândia,0.00,96.00,0.00,137.00,307.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,0.00,0.00,0.00,0.00,0.00
Galiléia,0.00,0.00,0.00,154.00,424.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gameleiras,0.00,52.00,0.00,129.00,11.00,85.00,0.00,80.00,58.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Glaucilândia,0.00,17.00,0.00,73.00,106.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Goiabeira,72.00,0.00,0.00,89.00,257.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Goianá,0.00,0.00,0.00,111.00,272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gonçalves,0.00,14.00,0.00,81.00,251.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gonzaga,0.00,0.00,0.00,157.00,307.00,133.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gouveia,0.00,101.00,0.00,266.00,408.00,98.00,0.00,66.00,39.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00
Governador Valadares,"3,436.00",0.00,"4,963.00",0.00,0.00,0.00,0.00,0.00,"10,691.00",0.00,0.00,0.00,0.00,4.00,0.00,522.00,0.00,0.00,"1,995.00",52.00,114.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grão Mogol,157.00,0.00,0.00,275.00,305.00,436.00,292.00,210.00,99.00,0.00,0.00,0.00,0.00,24.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
