Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Araporã,0.00,305.00,0.00,213.00,412.00,0.00,321.00,0.00,102.00,0.00,0.00,0.00,0.00,37.00,15.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
Arapuá,26.00,16.00,0.00,38.00,102.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Araújos,0.00,30.00,0.00,202.00,606.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00
Araxá,"1,594.00",179.00,"1,079.00",696.00,"2,573.00",249.00,540.00,189.00,397.00,0.00,0.00,0.00,0.00,301.00,228.00,171.00,0.00,0.00,403.00,58.00,135.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arceburgo,149.00,34.00,0.00,197.00,502.00,0.00,225.00,0.00,55.00,0.00,0.00,0.00,0.00,30.00,21.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arcos,472.00,0.00,0.00,691.00,"1,452.00",143.00,0.00,60.00,302.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,28.00,0.00,15.00,0.00,15.50,0.00,0.00,0.00,0.00,0.00,0.00
Areado,106.00,0.00,0.00,347.00,969.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Argirita,0.00,69.00,0.00,53.00,148.00,14.00,141.00,0.00,4.00,0.00,0.00,0.00,0.00,12.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aricanduva,45.00,0.00,0.00,107.00,220.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arinos,79.00,48.00,0.00,304.00,398.00,375.00,0.00,249.00,18.00,0.00,0.00,0.00,0.00,36.00,17.00,86.00,0.00,0.00,87.00,0.00,0.00,67.00,144.00,0.00,0.00,0.00,0.00,0.00,0.00
Astolfo Dutra,59.00,15.00,0.00,287.00,633.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ataléia,0.00,68.00,0.00,283.00,216.00,196.00,57.00,0.00,29.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Augusto de Lima,0.00,37.00,0.00,111.00,299.00,0.00,168.00,0.00,76.00,0.00,0.00,0.00,0.00,11.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Baependi,122.00,43.00,0.00,306.00,559.00,66.00,382.00,0.00,44.00,0.00,0.00,0.00,0.00,46.00,20.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00
