Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral.1,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral.1,Creche Parcial.1,Pré-Escola Integral.1,Pré-Escola Parcial.1,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio,Total Matriculados
Biquinhas,36.0,0.0,0.0,54.0,121.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0
Boa Esperança,754.0,0.0,38.0,882.0,986.0,250.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,160.0,47.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3369.0
Bocaina de Minas,0.0,0.0,0.0,65.0,144.0,76.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0
Bocaiúva,323.0,389.0,44.0,978.0,568.0,331.0,402.0,182.0,51.0,0.0,0.0,0.0,0.0,20.0,0.0,15.0,0.0,0.0,128.0,94.0,47.0,113.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,3776.0
Bom Despacho,770.0,134.0,0.0,1007.0,1327.0,55.0,0.0,53.0,111.0,0.0,0.0,0.0,0.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,3574.0
Bom Jardim de Minas,0.0,0.0,0.0,187.0,398.0,33.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0
Bom Jesus da Penha,155.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0
Bom Jesus do Amparo,105.0,0.0,0.0,127.0,287.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0
Bom Jesus do Galho,0.0,0.0,0.0,351.0,303.0,70.0,254.0,45.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0
Bom Repouso,0.0,110.0,0.0,214.0,390.0,141.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0
Bom Sucesso,0.0,92.0,0.0,357.0,866.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.0
Bonfim,14.0,0.0,0.0,123.0,301.0,38.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0
Bonfinópolis de Minas,58.0,41.0,0.0,147.0,292.0,36.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0
Bonito de Minas,0.0,65.0,0.0,141.0,0.0,583.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0
Borda da Mata,227.0,24.0,0.0,328.0,606.0,0.0,528.0,0.0,98.0,0.0,0.0,0.0,0.0,39.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.0
Botelhos,164.0,45.0,0.0,350.0,471.0,48.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.0
Botumirim,0.0,33.0,0.0,215.0,0.0,113.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0
Brás Pires,43.0,19.0,0.0,86.0,174.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0
Brasilândia de Minas,0.0,87.0,17.0,411.0,735.0,17.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,23.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.0
Brasília de Minas,318.0,0.0,179.0,548.0,0.0,380.0,197.0,123.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0
Braúnas,0.0,0.0,0.0,97.0,211.0,59.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0
Brazópolis,111.0,0.0,0.0,268.0,662.0,25.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,34.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.0
Brumadinho,277.0,303.0,0.0,832.0,1170.0,978.0,1049.0,726.0,60.0,0.0,0.0,0.0,0.0,47.0,0.0,109.0,0.0,93.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,5723.0
Bueno Brandão,0.0,0.0,0.0,192.0,506.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0
Buenópolis,61.0,0.0,0.0,215.0,493.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0
Bugre,0.0,0.0,0.0,70.0,132.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0
Buritis,230.0,0.0,10.0,570.0,1107.0,327.0,465.0,418.0,302.0,0.0,0.0,0.0,0.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3530.0
Buritizeiro,182.0,26.0,0.0,588.0,908.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.0
Cabeceira Grande,129.0,31.0,58.0,142.0,530.0,0.0,353.0,0.0,50.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.0
Cabo Verde,147.0,0.0,0.0,283.0,493.0,77.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0
Cachoeira da Prata,17.0,77.0,0.0,67.0,227.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0
Cachoeira de Minas,0.0,167.0,0.0,265.0,647.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0
Cachoeira de Pajeú,0.0,0.0,0.0,196.0,198.0,344.0,0.0,114.0,165.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0
Cachoeira Dourada,17.0,48.0,0.0,73.0,66.0,0.0,66.0,0.0,176.0,0.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0
Caetanópolis,0.0,0.0,0.0,235.0,346.0,116.0,186.0,95.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.0
Caeté,243.0,29.0,0.0,868.0,1135.0,100.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,102.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3474.0
Caiana,13.0,17.0,0.0,104.0,165.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0
Cajuri,0.0,40.0,0.0,96.0,182.0,6.0,171.0,0.0,92.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0
Caldas,46.0,0.0,0.0,230.0,637.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,15.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0
Camacho,0.0,34.0,0.0,64.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0
Camanducaia,33.0,487.0,42.0,447.0,1054.0,111.0,272.0,70.0,185.0,0.0,0.0,0.0,0.0,31.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.0
Cambuí,393.0,56.0,118.0,419.0,880.0,280.0,0.0,167.0,91.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,2488.0
Cambuquira,197.0,14.0,152.0,121.0,465.0,14.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,50.0,36.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0
Campanário,40.0,42.0,0.0,96.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0
Campanha,171.0,0.0,144.0,185.0,581.0,35.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,17.0,5.0,26.0,0.0,0.0,103.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.0
Campestre,36.0,87.0,0.0,370.0,634.0,400.0,541.0,102.0,0.0,0.0,0.0,0.0,0.0,48.0,8.0,46.0,0.0,0.0,42.0,0.0,12.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2390.0
Campina Verde,107.0,0.0,14.0,245.0,481.0,95.0,71.0,85.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,32.0,0.0,0.0,58.0,0.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288.0
Campo Azul,45.0,19.0,30.0,69.0,211.0,97.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0
Campo Belo,441.0,1.0,380.0,443.0,1751.0,85.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,113.0,78.0,56.0,0.0,0.0,98.0,0.0,102.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4156.0
Campo do Meio,0.0,0.0,0.0,207.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,0.0,106.0,0.0,59.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1185.0
Campo Florido,180.0,0.0,49.0,155.0,583.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,40.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0
Campos Altos,298.0,93.0,54.0,324.0,412.0,36.0,338.0,0.0,215.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.0
Campos Gerais,465.0,0.0,0.0,464.0,312.0,242.0,156.0,49.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1763.0
Cana Verde,0.0,0.0,0.0,112.0,309.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0
Canaã,0.0,31.0,0.0,104.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0
Canápolis,100.0,0.0,0.0,244.0,443.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,55.0,8.0,0.0,0.0,42.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0
Candeias,56.0,0.0,0.0,215.0,549.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0
Cantagalo,0.0,0.0,0.0,121.0,268.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0
Caparaó,44.0,0.0,19.0,137.0,205.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0
Capela Nova,0.0,0.0,0.0,83.0,167.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0
Capelinha,386.0,0.0,0.0,1030.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,64.0,0.0,124.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2562.0
Capetinga,0.0,0.0,0.0,142.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0
Capim Branco,0.0,0.0,0.0,267.0,617.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0
Capinópolis,0.0,164.0,0.0,281.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,63.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.0
Capitão Andrade,0.0,182.0,0.0,123.0,368.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0
Capitão Enéas,24.0,96.0,27.0,369.0,315.0,35.0,238.0,16.0,305.0,0.0,0.0,0.0,0.0,21.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.0
Capitólio,125.0,9.0,0.0,175.0,68.0,40.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0
Caputira,50.0,0.0,0.0,212.0,192.0,283.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0
Caraí,115.0,71.0,0.0,429.0,0.0,596.0,144.0,336.0,599.0,0.0,0.0,0.0,0.0,3.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2362.0
Caranaíba,0.0,0.0,0.0,65.0,108.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0
Carandaí,0.0,195.0,0.0,556.0,1068.0,126.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.0
Carangola,230.0,85.0,71.0,535.0,301.0,192.0,85.0,82.0,29.0,0.0,0.0,0.0,0.0,67.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.0
Caratinga,1036.0,1.0,0.0,1785.0,2353.0,228.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,165.0,69.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,5898.0
Carbonita,0.0,159.0,0.0,202.0,327.0,107.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,948.0
Careaçu,61.0,0.0,0.0,156.0,433.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0
Carlos Chagas,0.0,54.0,0.0,377.0,899.0,254.0,214.0,118.0,43.0,0.0,0.0,0.0,0.0,62.0,0.0,17.0,0.0,53.0,41.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.0
Carmésia,0.0,0.0,0.0,57.0,153.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0
Carmo da Cachoeira,43.0,0.0,102.0,139.0,735.0,52.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,0.0,0.0,106.0,0.0,0.0,19.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1349.0
Carmo da Mata,0.0,116.0,0.0,217.0,528.0,32.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0
Carmo de Minas,86.0,0.0,0.0,232.0,376.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.0
Carmo do Cajuru,0.0,227.0,0.0,511.0,1261.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,10.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2189.0
Carmo do Paranaíba,288.0,48.0,20.0,621.0,1238.0,71.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,15.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2508.0
Carmo do Rio Claro,4.0,0.0,0.0,358.0,427.0,278.0,0.0,259.0,7.0,0.0,0.0,0.0,0.0,29.0,9.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.0
Carmópolis de Minas,47.0,0.0,0.0,355.0,627.0,215.0,292.0,0.0,165.0,0.0,0.0,0.0,0.0,37.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1784.0
Carneirinho,77.0,1.0,16.0,247.0,506.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0
Carrancas,0.0,34.0,0.0,81.0,250.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0
Carvalhópolis,30.0,30.0,0.0,70.0,237.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0
Carvalhos,0.0,0.0,0.0,60.0,170.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0
Casa Grande,0.0,0.0,0.0,30.0,85.0,38.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0
Cascalho Rico,28.0,0.0,0.0,51.0,95.0,60.0,165.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0
Cássia,29.0,0.0,124.0,268.0,755.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0,0.0,257.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.0
Cataguases,267.0,516.0,230.0,966.0,1118.0,0.0,628.0,0.0,434.0,0.0,0.0,0.0,0.0,139.0,66.0,221.0,0.0,0.0,63.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,4726.0
Catas Altas,0.0,78.0,0.0,126.0,326.0,52.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0
Catas Altas da Noruega,0.0,26.0,0.0,98.0,0.0,41.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
Catuji,0.0,30.0,0.0,250.0,281.0,241.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,19.0,15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0
Catuti,40.0,55.0,0.0,117.0,158.0,81.0,0.0,82.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0
Caxambu,277.0,51.0,39.0,349.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,58.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.0
Cedro do Abaeté,31.0,0.0,26.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0
Central de Minas,0.0,42.0,0.0,184.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0
Centralina,143.0,0.0,0.0,194.0,243.0,0.0,308.0,0.0,66.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0
Chácara,0.0,26.0,0.0,67.0,181.0,0.0,170.0,0.0,19.0,0.0,0.0,0.0,0.0,24.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0
Chalé,25.0,40.0,0.0,157.0,91.0,51.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0
Chapada do Norte,183.0,0.0,0.0,263.0,220.0,170.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0
Chapada Gaúcha,80.0,72.0,0.0,300.0,426.0,331.0,111.0,290.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.0
Chiador,0.0,0.0,9.0,58.0,159.0,93.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0
Cipotânea,0.0,0.0,0.0,110.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
