Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral.1,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral.1,Creche Parcial.1,Pré-Escola Integral.1,Pré-Escola Parcial.1,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio,Total Matriculados
Santa Margarida,203.0,0.0,0.0,357.0,177.0,455.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.0
Santa Maria de Itabira,0.0,124.0,0.0,255.0,630.0,42.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,16.0,28.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0
Santa Maria do Salto,0.0,0.0,0.0,79.0,163.0,59.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0
Santa Maria do Suaçuí,99.0,138.0,0.0,284.0,101.0,366.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0
Santa Rita de Caldas,26.0,0.0,0.0,139.0,364.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0
Santa Rita de Ibitipoca,0.0,0.0,0.0,60.0,59.0,126.0,46.0,0.0,36.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0
Santa Rita de Jacutinga,0.0,40.0,0.0,96.0,285.0,6.0,194.0,0.0,94.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0
Santa Rita de Minas,48.0,0.0,0.0,174.0,368.0,44.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0
Santa Rita do Itueto,41.0,44.0,0.0,136.0,140.0,188.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0
Santa Rita do Sapucaí,499.0,0.0,208.0,539.0,918.0,67.0,355.0,0.0,423.0,0.0,0.0,0.0,0.0,54.0,0.0,36.0,0.0,0.0,95.0,20.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,3326.0
